file_name,transcript,label
hin20,"दो तरह की डिग्री हैं। एक डिग्री है जिससे डिग्री से रोटी लगा के खा सकते हो। ये आपका डिग्री का पन्ना है। इससे रोटी लगा के खा सकते हो। एक ये डिग्री है। मैं थोड़ी सरल भाषा में समझाता हूं। अंग्रेजी नहीं लेकर आता प्रोफेशनल डिग्री, प्रोफेशनल कोर्स एंड दिस जर्नल नहीं। ये इससे खा सकते हो, कौन सी है ये लॉयर है। लॉ की डिग्री आ गई, कहीं नौकरी नहीं मिलती। अपन एडवोकेट का लिया, बार लाइसेंस लिया, अपने बैठ गए, नोटरी बैठ गए, हो गए, चार केस आ गए साल के। तो बना कुछ बना दिया, एफिडेविट बना दिया, कुछ कर दिया। डिग्री इस डिग्री से रोटी खा रहे हो आप। डॉक्टर भी डिग्री से रोटी खा सकता है कहीं नौकरी ना मिले तो। चार्टर्ड अकाउंटेंट भी खा सकता है। पर आप कहीं इंजीनियर बन गए तो आप इंजीनियर बनकर सिर्फ ये नहीं बन सकते कि भई मैं तो कंप्यूटर इंजीनियर बन गया हूं या कुछ बन गया तो अब बड़ा मुश्किल है इससे डायरेक्ट रोटी खाना। बिल्कुल ही वो आईआईटी फाइटी स्टार्टअप वो बहुत रेयर है। अदरवाइज आप डिग्री लेके घूम रहे हो, बीए की डिग्री लेके घूम रहे हो, बीबीए की लेके घूम रहे हो, एमबीए की लेके घूम रहे हो। ये सब डिग्रियां हैं, इनसे रोटी लगा के नहीं खा सकते आप। आपको किसी के पास जाना है, रेज्यूमे देना है आपको। रेज्यूमे देने की जगह मैं आप लोग को बताऊंगा क्या देना चाहिए, क्या करना चाहिए, वो बताऊंगा। आजकल नौकरियां कैसे लग रही हैं?",educational
hin21,"अगर आपको नौकरी भी देनी है किसी की या हम भी बैठते हैं पैनल्स में, वी आर इंटरेस्टेड काम क्या किया आपने? प्रोजेक्ट किया है, कोई पैसा कमाया है? कोई ऐसा काम किया आपने? कि आपको कोई स्किल है, डिजिटल मार्केटिंग की है, वेबसाइट बनाने की है, कुछ चीज बेचने की है, खरीदने की है या कुछ क्लाइंट्स एक्वायर कर कुछ भी आपने वो प्रोजेक्ट किसी के लिए कुछ किया जो आप दिखा सकते हो कि भई मैंने यहां पे 12 घंटे डाले थे और मैंने यहां ₹25000 कमाए। ऐसा कुछ आप प्रूव कर सकते हो कि मैंने यहां ₹50000 कमाए, ₹30000 एंड वो उसको देखकर वो आपको नौकरी दे देगा क्योंकि वो कैलकुलेट करेगा कि काम तो मेरे पास बहुत है जैसे मैं अपना पर्सनल भी बताता हूं मेरे पास काम बहुत है। आपका मेरे को पर आर का रेट पता चले, उस पे मैं आपको हायर कर लूं, कोई मैं या किसी और का एग्जांपल ले लो। तो वो आपको काम दे देगा और वो अपना प्रॉफिट मन में कैलकुलेट करके आपको नौकरी दे देगा। पर आप उसके पास ऐसे पहुंचते हो। रेज़्यूमे लेके तो मुझे पता ही नहीं आपकी कैपेबिलिटी क्या है। और तनख्वाह भैया 30, 40, 50 हज़ार से कम की तो दी नहीं जाती। किसी को नौकरी पे रखते ही एक महीने में निकाला नहीं जाता। बहुत मुश्किल हो गया आजकल नौकरियों पे रखना। क्योंकि आप किसी को नौकरी पर रखोगे सिलेक्शन में पैसा खर्चना पड़ता है क्योंकि आई एम पार्ट ऑफ द सिलेक्शन आई मेक मनी फ्रॉम कंपनीज फॉर सिलेक्टिंग इंडिविजुअल्स फॉर देम एंड वो पैसा सिलेक्शन में भी पैसा खर्च करती है कंपनी फिर वो 2 3 महीने तो आपको कुछ ट्रेन भी करती है।",opinion
hin22,"मुझे तो आज तक समझ नहीं आता कि इतना चस्का क्यों हो रखा है मिडिल क्लास को पढ़ाई करने का, ग्रेजुएशन के बाद पोस्ट ग्रेजुएशन करने का। भाई साहब और पढ़ लें, और पढ़ लें, प्रिपेयर ही होते रहो। अरे भैया तुम 3 साल से 22 साल तक तो तुमने 18 साल 19 साल पढ़ाई करी ग्रेजुएशन, अब तुम्हें और पढ़ना है? पढ़ते ही रहोगे क्या? 18-19 साल तुम पढ़ लिए और अब तुम्हें कितना वो चाहिए पैसे कमाने के लिए और? पढ़े जा रही है, 27 साल हो गए, 28 साल हो गए, प्रिपरेशन, प्रिपरेशन, एग्जाम, प्रिपरेशन। अरे नोट कमाना भाई। फिजिकली नोट कमाना पड़ेगा, फिजिकली काम करना पड़ेगा, मिडिल क्लास का सिलेबस ही नहीं है ये। लोअर क्लास एंड मिडिल क्लास बन जाना है, मिडिल क्लास अब लोअर क्लास हो जाएगी, ये भी फैक्ट है। जिस तरह चल रहा है। क्योंकि मिडिल क्लास के पेरेंट्स आर फेलिंग देयर किड्स क्योंकि वो उनको सिलेबस नहीं पता। कहते यार ये क्या सिस्टम होता है, सेट कैसे हुआ भाई साहब ऐसे? ये पांच छह प्रोजेक्ट करेगा, कोई नौकरी ऐसे मिल जाएगी, वो भी पता है, हां ये सेट कभी नहीं होने वाले। ये काम, ये जो तरीके हैं ना काम करने के और पैसे कमाने के, मल्टीपल इनकम स्ट्रीम चाहिए। बोलना आना चाहिए, तमीज़ आनी चाहिए, स्मार्ट दिखना चाहिए, पर्सनालिटी होनी चाहिए।",opinion
hin23,"थैंक यू सो मच अपर्णा, मेरे बारे में लिखने के लिए। स्टोरी के कुछ पार्ट्स हैं जो मैं आपके साथ शेयर करना चाहूंगा। मैंने जो सीखा है मेरी लाइफ में। मैंने अपना करियर एज अ हेडेज से शुरू किया बहुत साल पहले। ऐसी जगह पर रहता था जहां पर पानी भर जाता था और हम करीब 8 फीट जगह पर रहते थे। बहुत गुरबत और गरीबी भी थी। उसी वक्त मेरा जो रहन सहन था क्योंकि माय फादर वाज वर्किंग एज अ बार्बर और ही वाज रनिंग ए सैलोन। सो वहां पर जिस तरह की मेंटालिटी थी लोगों की, मुझे नहीं लगता कि मैं शायद प्रोग्रेस कर पाता। लेकिन जैसे जैसे मैं बाहर निकला हूं अपनी लाइफ में, जैसे जैसे मैं लोगों से मिला हूँ, मैंने चीजें अचीव की हैं, उससे ये साबित तो ज़रूर होता है कि आदमी को सपने देखना बहुत ज़्यादा ज़रूरी है। तो इस बुक के अंदर भी ये है कि आपको सपने देखना और सोचना बहुत ज़रूरी जब आप सोचते हैं, सपने देखते हैं।",motivational
hin24,"एक बहुत अच्छा इंसिडेंट है, किसी ने पूछा कि यार आप हेडरेसर कैसे बने? मैंने कहा मैं बहुत छोटा था 5 साल का, मेरी पड़ोसन मेरे घर में टीवी देखने आई और मैंने पीछे से कैंची से जाके उसके बाल काट दिए। और उसने मुझे श्राप दिया कि जा तू बड़ा हो के ना यही करने वाला बाली काटने वाला है। थैंक यू सो मच। आज उनके इस श्राप ने मुझे इतना अच्छा काम किया कि ये काम उस लेवल पे पहुंच गया कि आई फील वेरी प्राउड कि आई एम वर्किंग वन ऑफ द वेरी टॉप हेयर स्टाइलिस्ट। लोगों के दिलों में रहता हूं, लोगों के साथ बहुत अच्छा रिलेशन है, आई एम ट्रेनिंग पीपल, एजुकेशन क्रिएट करता हूं। एक छोटा सा इंसिडेंट मुझे याद आया, आई वास वर्किंग विथ अ लैक्मे लीवर और लैक्मे लीवर छोड़ने की जो मेरी वजह थी, वो थी मैं एजुकेशन में कुछ करना चाहता था। सो आई लेफ्ट ब्लैकमी लीवर एंड स्टार्टेड डूइंग माय शो। और उस शोज ने मेरा दिमाग इतना खराब कर दिया कि मुझे लगा कि आई एम आउट ऑफ द वर्ल्ड। बस अब दुनिया मेरे मुट्ठी में आ गई है। लेकिन बाद में मुझे आहिस्ता-आहिस्ता पता चला ये शोज करना इतना आसान नहीं होता है। इज नॉट ए इजी थिंग। आप लाइफ में जो कुछ अचीव करना चाहते हैं उसका एक वक्त होता है उसमें थोड़े सब्र की जरूरत होती है।",storytelling
hin25,"सी द वे आई सी इट, अगर कोई एक ऐसा कॉलेज है जो कि 10,000 बच्चों को पढ़ाता हो और उन 10,000 बच्चों में से उनसे सबसे पूरे जो सबसे प्रीमियम कॉलेजेस होते हैं उसकी फीस चार्ज करे ₹2 लाख, ₹2.5 लाख, ₹3 लाख पर ईयर और उसके बाद वो कॉलेज 9,990 बच्चों को फेल कर दे और सिर्फ 10 और 10 बच्चे सिर्फ 10 बच्चों को पास करे। वेल देन डेफिनेटली हम में से कोई ना कोई ये सवाल पूछेगा। वी विल एक्चुअली डिक्लेअर इट एस अ फ्रॉड। समबडी, वन ऑफ अस, सोसाइटी, इदर गवर्नमेंट विल एक्चुअली इंटरवीन इट। दिस हैपन्स एवरी सिंगल डे इन द कोचिंग इंस्टिट्यूट्स ऑफ द ओल्ड राजेंद्र नगर एंड द मुखर्जी नगर। ऑल ऑफ अस आर रिस्पांसिबल फॉर इट। हर साल 10000 बच्चों को पढ़ाते तो हैं। बाय सेलिंग दी वन सक्सेस स्टोरी ऑफ दी मनोज कुमार शर्मा। लेकिन उसके बाद जो 9990 बच्चे हैं, उनका बेसिकली कोई रिजल्ट नहीं होता है, दे डू नॉट गेट एनीथिंग। द एक्चुअल डेमोग्राफिक डिविडेंड जो कि हमारे देश का है जिसके बारे में हम बातें करते हैं, वो डेमोग्राफिक डिविडेंड जो कि नेशन बिल्डिंग में लगना चाहिए वो बेसिकली इस समय उसका पूरा का पूरा बेसिकली श्मशान घाट बना हुआ है। राजेंद्र नगर और मुखर्जी नगर की गलियों में। सवाल ये भी है कि बिकॉज़ दोज़ पीपल फेल। नोबडी विल एक्चुअली एवर टेल यू दी स्टोरी अबाउट देम। उनकी कहानी कभी बताई नहीं जाएगी, उनकी कहानी कभी एप्रिशिएट नहीं किया जाएगी। हमारी सोसाइटी के साथ एक छोटा सा इशू है। हम सक्सेस को बहुत ज्यादा वैल्यू करते हैं जो कि थोड़ी सी अंडररेटेड है और हम फेलियर को बहुत ज्यादा बेसिकली डिसएप्रिशिएट करते हैं जो कि थोड़ा सा ओवररेटेड है। थिंग्स हैपन दैट इज हाउ इट इज गोइंग टू बी। नाउ इट्स नॉट द मिरली जो प्रॉब्लम बेसिकली कोचिंग इंस्टिट्यूट्स ने क्लियर की है, दे आर जस्ट पार्ट ऑफ द सिस्टम, उनके द्वारा नहीं किया गया है। दिस है स्पेसिफिकली जो ये फ्लॉ है, ये कहीं ना कहीं पे यूपीएससी",opinion
hin26,"यूपीएससी 2013 या 2014 में ये डिसाइड किया था कि बेसिकली चार अटेम्प्ट की बजाय छह अटेम्प्ट कर देनी चाहिए। एक्चुअली में क्या होता है कि यूपीएससी के जो अटेम्प्ट हैं, इट वुड नॉट मैटर आप उसमें कितने अटेम्प्ट अगर आप यूपीएससी में तीन अटेम्प्ट दे दो, अगर यूपीएससी में छह अटेम्प्ट दे दो या यूपीएससी में 10 अटेम्प्ट दे दो, दी कंक्लूसिव रिजल्ट इज गोइंग टू बी द सेम। यू आर गोइंग टू एंड अप सिलेक्टिंग द सेम कैंडिडेट्स, कोई फर्क नहीं आएगा। बट जब छह अटेम्प्ट होते हैं या फिर उससे ज्यादा अटेम्प्ट होते हैं तो इट कंपलीटली डिस्ट्रॉयज जो हमारे यूथ के जो सबसे प्रोडक्टिव इयर्स होते हैं 21 से 30 साल के। अगर यूपीएससी दो, तीन या चार अटेम्प्ट पे बेसिकली छोड़ देता है जो बेसिकली एक आइडियल सिचुएशन पहले एक्जिस्ट करती थी 2014 से, द स्टूडेंट ऑलवेज गेट्स अ चांस टू रीबिल्ड हिज और हर ओन लाइफ। 21 के ऐज में तैयारी स्टार्ट करता है, 25 तक वो बेसिकली तैयारी करके अपने अटेम्प्ट से डन हो चुका होगा। ही स्टिल हैव सम रिडेम्पशन अवेलेबल। लेकिन 6 अटेम्प्ट, 7 अटेम्प्ट, 8 अटेम्प्ट के बाद जब वो 30 साल के बाद जब वापस रियल वर्ल्ड में जाता है, उसके लिए कोई भी बेसिकली यू कैन पुट इट लाइक द बेसिकली देयर इज नो कंट्री फॉर द यूपीएससी फेलियर्स। दिस हैपन्स विद इफ नॉट लैक्स प्रोबेबली टेंस ऑफ थाउजेंड्स ऑफ द स्टूडेंट्स। वो राजेंद्र नगर के छोटे-छोटे से 10 बाय 10 के कमरों में मुखर्जी नगर के छोटे-छोटे कमरों में रहे हैं, रह रहे हैं एंड जब वो बिग प्रिपरेशन बिगिन करते हैं और जब वो प्रिपरेशन का एंड होता है सो दे आर एब्सोल्यूटली एंड एंटायरली डिफरेंट डिप्लीटेड पीपल।",opinion
hin27,"आपका जो YouTube चैनल है वो टर्मिनेट हो गया है कॉपीराइट की वजह से। मैंने खोल के देखा मुझे लगा यार ये तो बहुत बड़ी गड़बड़ हो गई है। मैंने सोचा चलो कुछ पैसे कमा लिए उससे कुछ कर लेंगे। उसके कुछ दिन बाद जब एडसेंस से पेमेंट आनी थी तो मेरे पास दूसरा मेल आया कि आपका एडसेंस भी टर्मिनेट हो चुका है। और जो पैसा मैंने कमाया था, वो सारा का सारा चला गया और मैं एकदम होपलेस हो गया कि भाई, ये चीज मेरे बस की नहीं है, मुझे इस चीज को शुरू ही नहीं करना चाहिए था, मैंने अपना टाइम यहां पर वेस्ट कर दिया, ये गलत डिसीजन मैंने लिया। यह मेरे साथ ही था यह। तो एक्चुअली में यहां पर हुआ यह था कि डिसीजन मेरा गलत यह था कि मैंने शॉर्टकट चुना क्योंकि गलती YouTube की नहीं थी अगर हम किसी का कॉपीराइटेड कंटेंट यूज करेंगे तो भाई उस पर स्ट्राइक आ सकती है और सारे के सारे कंटेंट को YouTube ने उड़ा दिया जो मेरी खुद की मेहनत थी जहां पर मैं टॉप 10 की वीडियोस बनाता था वो भी गया यानी जो खुद की मेहनत की चीज थी वो भी गई और आपको भी यही कहना चाहता हूं कि भाई अगर आपको लगता है कि यह चीज शॉर्टकट है यह चीज मुझे बहुत आसानी से मेरे टारगेट पर लेकर जा रही है लेकिन यह चीज आपको फील होता है कि उतनी सही नहीं है तो मैं आपको दावे से कह सकता हूं कि आप अगर उस पर जाएंगे",motivational
hin28,"तो वहां पर मेरा सब कुछ खत्म हो चुका था। मैंने डिसाइड कर लिया कि अबे यार मुझे यूट्यूब चलाना ही नहीं है। मैंने सोच लिया मुझे करना ही नहीं है यूट्यूब, ये मेरे काम की चीज ही नहीं है। ये मेरे साथ ही हो रहा था। अब मैं सोचता हूं तो मुझे बहुत अजीब सा लगता है ये चीज सोच के। तो लगभग 2 महीने में शांत रहा, मैंने कुछ नहीं किया, YouTube का नाम भी नहीं लिया क्योंकि इतना तगड़ा झटका लगा था ना यार वो। लेकिन उसके बाद में वो जो कीड़ा है दिमाग में वो तो चलेगा, जब इतनी चीजें YouTube की समझ ली, इतनी चीजें सीख ली, एल्गोरिदम को समझ लिया तो कीड़ा फिर से चला दिमाग में कि यार इतना कुछ पता है इसको वेस्ट तो नहीं होने देना चाहिए। लेकिन तब मेरे पास में एक एडवांटेज आ चुका था कि थोड़ा सा पैसा मैंने YouTube से कमा लिया था और उसकी मदद से मैंने सोचा कि यार एक काम करते चलो फिर से YouTube में घुसते हैं और अब मैं जो भी करूंगा उसमें कोई शॉर्टकट नहीं लूंगा उसमें कोई भी आसान रास्ता नहीं लूंगा जो करूंगा अपनी मेहनत से करूंगा होगा तो होगा नहीं होगा तो नहीं होगा लेकिन मैं अपना 100% दूंगा और मैंने डिसाइड किया कि अब मैं कुछ ऐसा कंटेंट बनाऊंगा जिसमें मैं खुद रहूंगा और पूरा जो ऑडियो वीडियो है सब कुछ मेरा खुद का रहेगा।",storytelling
hin29,"गाइज़, हमारे जीवन में ज़्यादातर जो चीज़ें होती हैं, हम उसको थोड़ा सा करते हैं और होपलेस हो जाते हैं और उसको छोड़ देते हैं। लेकिन ये चीज़ लगभग हर चीज़ में वैलिड है, YouTube में तो कुछ ज़्यादा ही है कि अगर आपको फेलियर मिल रहा है तो इसका मतलब ये नहीं है कि आपको छोड़ देना चाहिए होपलेस हो करके। यह आपको जानबूझकर के YouTube देता है, आपको व्यूज जानबूझकर के नहीं देता है क्योंकि उसकी बहुत सारी मजबूरियां हैं। वह हर किसी को व्यूज नहीं दे सकता। लेकिन अगर आपकी वीडियोस पर रिस्पांस अच्छा आएगा, अगर लोग आपकी वीडियोस में इंटरेस्ट लेंगे, तो आपको जरूर से जो है YouTube ग्रोथ करेगा, टाइम जरूर से लेगा उसमें। तो यह चीज की मुझे पहले से समझ थी कि कुछ ऐसा होने वाला है। अच्छी बात ये थी कि मेरे पास थोड़ा सा पैसा था जो कि मैंने YouTube से कमाया था और उसकी मदद से इस बार जो है मैं कैमरा खरीद पाया फाइनली। मेरे पास में कैमरा और एक माइक आ गया। तो अब मैं फ्री था वीडियोस बनाने के लिए लेकिन चैलेंजेस यहां खत्म नहीं हुए क्योंकि बात वही है कि लाइफ होती ही कुछ ऐसे है, सभी की ही ऐसे होती है कि सोचते कुछ हैं लेकिन एक प्रॉब्लम सॉल्व नहीं होती, दूसरी उससे पहले खड़ी रहती है, तैयार रहती है। मैं जब कैमरा के सामने खड़ा हुआ, मैंने देखा कि यार मुझे तो कैमरा में बोलना ही नहीं आ रहा क्योंकि मैं बहुत ही इंट्रोवर्ट था उस टाइम पे। किसी से बात करने में मुझे बहुत दिक्कत होती थी। मैं अपने आप को अच्छे से एक्सप्रेस नहीं कर पाता था जो कि अगर आप कहोगे कि यार अमित भाई ये आप क्या कह रहे हो? भाई ये एक्चुअली में मेरे साथ में केस था। अभी मैं जितना जो कुछ बोल रहा हूं।",motivational
hin3,"यह उसका एक रिजल्ट है। आप यह करके देख सकते हैं, अपने गांव में करके देख सकते हैं, अपने स्कूल में करके देख सकते हैं, कैंपस में करके देख सकते हैं। क्योंकि आप कोई भी बत्तख, आप सोचिए मैं खुद बत्तख हूं। चारों तरफ अगर पत्थर है, लोग वॉक कर रहे हैं, गाड़ियां चल रही है, अगर मैंने वहां पे अपने बच्चे छिपा भी दिए, अंडे रख भी दिए, क्या आपको लगता है शाम तक वो सेफ बचेंगे? और अब तो कुत्ते, बिल्ली इतने सारे हैं, शाम तक वो भी चखने में यूज कर लेंगे। इसीलिए उनको बीच में सेफ एंड सिक्योर प्लेस देने की एक ये हमारी तैयारी रहती है, कोशिश रहती है और वहीं पे वही काम हम करते हैं।",educational
hin4,"थोड़ा सा ध्यान दें कि कुदरत ने औरत और मर्द में सिमिलैरिटीज ज्यादा दी हैं। फर्क सिर्फ दो-तीन हैं और आपको मालूम है हमारे अंदर क्या फर्क है हमारे जिस्मों में। और ये फर्क कुदरत ने सिर्फ प्रजनन के लिए, रीप्रोडक्शन के लिए बनाए हैं। इसके लिए नहीं बनाए कि कौन वाइस चांसलर बनेगा, तो कौन प्राइम मिनिस्टर बनेगा और कौन मोटरसाइकिल चलाएगा, कौन खाना बनाएगा। कुदरत डाइवर्सिटी पसंद करती है। कितनी डाइवर्सिटी कि दुनिया में 7 बिलियन से ज़्यादा लोग हैं, मगर उनमें से दो भी एकदम एक जैसे नहीं हैं।",educational
hin5,"एक शख्सियत आपकी लाइफ में होती है और ऐसे कम ही होती है कि जब उनकी रोशनी आपके ऊपर पड़ती है, तो आप भी उस रोशनी में चमकने लगते हैं। आपकी अपनी कोई रोशनी नहीं होती। लेकिन उस रोशनी में जो किसी दूसरे का प्रकाश आप पे आया, उनकी पर्सनालिटी का जो आप पे रिफ्लेक्शन आया, उसमें आप भी चमकने लगते हैं। तो वो ऐसा कुछ टाइम के लिए होता है जैसे ही प्रकाश खत्म आप भी अंधेरे में खो गए। लेकिन कुछ लोग ऐसे होते हैं जो बेशक प्रकाश खत्म हो जाए। वो व्यक्तित्व उस किरदार की खुशबू आपके साथ चलती है। ऐसी ही एक खुशबू का नाम है मां।",motivational
hin6,"गुरु आपको जिंदगी में मिलता तो है, पर सब लोग गुरु के साथ एकाकार नहीं हो पाते। कुछ होते हैं। सौम्य, शांत, करुणामय चित्र और ऐसी शख्सियत जो सिर्फ यह चाहती है कि उसके स्टूडेंट्स का इतना बड़ा नाम हो कि वो इस दुनिया में इस पहचान के साथ जाना जाए कि इसके गुरु वो थे। अर्जुन के गुरु द्रोणाचार्य थे। राम के गुरु वशिष्ठ थे। गुरु हमेशा शिष्यों से पहचाना जाएगा, याद रखना। किसी भी पेड़ की पहचान उसके फल से होगी। आपने दिया क्या है?",motivational
hin7,"और यह मानिए कि अगर भगवान भी रूठ जाए, ध्यान दीजिएगा। तो गुरु आपको भगवान के मनाने का जतन बता देगा, रास्ता बता देगा, कोई ना कोई सूत्र देगा जिससे वह भगवान खुदा भी आपकी बात सुनने लगेगा, उससे मिलवा देगा। लेकिन गुरु ही अगर रूठ गया फिर क्या होगा? हरी रूठे गुरु ठोर है, गुरु रूठे नहीं ठोर।",educational
hin8,"आज नहीं तो कल, कल नहीं तो परसों कोई रास्ता मिलेगा, क्या पता उससे भी खूबसूरत कोई रास्ता मिल जाए। पर मां का अल्टरनेटिव दुनिया में नहीं है। दूसरी मां नहीं मिल सकती। गुरु मिलेगा कि नहीं मिलेगा इसका भी अंदाजा नहीं है। दूसरा गुरु भी बहुत मुश्किल है। बहुत ही मुश्किल है। इन परिस्थितियों से जब आप गुजरते हैं, इन ग्लिचेस से आप गुजरते हैं, तो ग्रेविटी कहां से आएगी? व्यक्तित्व में ठहराव कहां से आएगा? आंधियों ने आपके पैरों को उखाड़ दिया है। ये जमीन पर कैसे जमे रहेंगे? तो वो रास्ता फिर आता है। आपकी कमिटमेंट से, आपकी कृतज्ञता से, आपके गुरु और माता के प्रति आपके समर्पण से। जहां वो छोड़ के गए हैं आपको और जो वो सिखा के गए हैं आपको, वो जो आपको बनते हुए देखना चाहते थे। आप उस दिशा में कमिटमेंट के साथ खड़े होइए, समर्पण के साथ खड़े होइए।",motivational
